domain,https_usage,has_https_rr,rr_count,ech_present,dnssec_present,records,param_flags.mode,param_flags.alpn,param_flags.ipv4hint,param_flags.ipv6hint,param_flags.dynamic_config
britannica.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.18.4.110,104.18.5.110"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=""', 'priority': 1, 'target': '.'}]",Service,True,True,False,True
discordapp.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h2"" ipv4hint=""162.159.129.233,162.159.130.233,162.159.133.233,162.159.134.233,162.159.135.233"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=""', 'priority': 1, 'target': '.'}]",Service,True,True,False,True
remove.bg,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h2"" ipv4hint=""104.18.34.156,172.64.153.100"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:4402::ac40:9964,2606:4700:440d::6812:229c""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
e621.net,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h2"" ipv4hint=""104.20.31.112,172.66.160.235"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:1f70,2606:4700:10::ac42:a0eb""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
ficbook.net,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""172.66.133.152,172.66.138.205"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=""', 'priority': 1, 'target': '.'}]",Service,True,True,False,True
gekso.xyz,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.8.182,104.26.9.182,172.67.71.157"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:8b6,2606:4700:20::681a:9b6,2606:4700:20::ac43:479d""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
kamababa.desi,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.0.135,104.26.1.135,172.67.70.253"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:87,2606:4700:20::681a:187,2606:4700:20::ac43:46fd""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
prokerala.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.14.242,104.26.15.242,172.67.69.237"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:ef2,2606:4700:20::681a:ff2,2606:4700:20::ac43:45ed""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
tmohentai.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.19.52,172.67.185.63"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3033::ac43:b93f,2606:4700:3036::6815:1334""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
zonatmo.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.91.243,172.67.182.42"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3037::6815:5bf3,2606:4700:3037::ac43:b62a""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
missav.ws,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.20.31.186,172.66.167.65"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:1fba,2606:4700:10::ac42:a741""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
missav.ai,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.20.16.252,172.66.173.34"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:10fc,2606:4700:10::ac42:ad22""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
gizmodo.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.2.63,104.26.3.63,172.67.74.173"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:23f,2606:4700:20::681a:33f,2606:4700:20::ac43:4aad""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
sciencemag.org,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.18.41.243,172.64.146.13"" ech=""AEX+DQBBTgAgACDgjbk5yfc8TCPlqmK8qQK0P9wxbLnT6ZcGwl3v2OrKFAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=""', 'priority': 1, 'target': '.'}]",Service,True,True,False,True
wpguardian.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.87.126,172.67.143.79"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::6815:577e,2606:4700:3033::ac43:8f4f""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
aznude.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.18.51.6,104.18.53.42"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3112::6812:352a,2606:4700:311c::6812:3306""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
arabsex.to,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.8.80,104.26.9.80,172.67.70.232"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:850,2606:4700:20::681a:950,2606:4700:20::ac43:46e8""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
